"id","nazwa","typ","funkcja","cechy","udzial_w_rynku_2025","github_stars_2025","adopcja_deweloperow_2025","prognoza_adopcji_2030"
1,"Git","System kontroli wersji","Zarządzanie zmianami w kodzie źródłowym, współpraca zespołowa w projektach rozproszonych","Rozproszony model, integracja z CI/CD, obsługa branchów i merge'ów; wysoka skalowalność w dużych repozytoriach","93.87","Ponad 100 mln repozytoriów","87.1","95"
2,"VS Code","Edytor kodu","Pisanie, debugowanie i testowanie kodu w wielu językach, rozszerzalny poprzez wtyczki","Lekki, open-source, wsparcie dla Git, IntelliSense i terminala; używany w edukacji i przemyśle","82.5","15 mln","76.4","85"
3,"Ubuntu","System operacyjny","Środowisko deweloperskie oparte na Linuxie, zarządzanie pakietami via apt, testy w trybie Live","Stabilność, darmowy dostęp, integracja z chmurą (AWS, Azure); popularny w serwerach i kontenerach","45.2 w desktop Linux","10 mln pobrań rocznie","68.3 wśród sysadminów","75"
4,"JSON","Format danych","Serializacja i deserializacja danych w aplikacjach webowych i API","Lekki, czytelny dla człowieka i maszyny, natywna obsługa w JavaScript; brak schematu walidacji","98 w web dev","Nie dotyczy (standard)","95.6","99"
5,"LaTeX","Język znaczników","Tworzenie dokumentów naukowych z zaawansowaną typografią, formuły matematyczne i tabele","Precyzyjna kontrola layoutu, kompilacja do PDF, integracja z BibTeX; używany w akademii","12.5 w naukach ścisłych","5 mln","34.7 wśród badaczy","40"
6,"Terminal","Interfejs wiersza poleceń","Wykonywanie komend systemowych, skrypty automatyzujące, zarządzanie plikami i procesami","Efektywność w automatyzacji, integracja z shellami (Bash, Zsh); kluczowy w DevOps","99 w CLI tools","Nie dotyczy","92.1","95"
7,"Python","Język programowania","Rozwój aplikacji, analiza danych, automatyzacja i AI","Prosty składnia, bogate biblioteki (NumPy, Pandas), wszechstronność; wzrost adopcji o 7% rocznie","25.98","40 mln","45.7 rekruterów szuka","60"
8,"Docker","Platforma konteneryzacji","Pakowanie aplikacji w kontenery, izolacja środowisk, deploy w chmurze","Portowalność, skalowalność, integracja z Kubernetes; redukcja błędów deploymentu o 30%","71.1","12 mln","92 w IT","98"
9,"AWS","Chmura obliczeniowa","Usługi hostingowe, storage, AI i bazy danych","Skalowalność, pay-as-you-go, integracja z toolami DevOps; lider rynku z 32% udziałem","32","Nie dotyczy","65.4 firm","70"
10,"SQL","Język zapytań baz danych","Zarządzanie danymi relacyjnymi, zapytania, agregacje i joins","Standaryzowany (ANSI), wydajny w big data, integracja z ORM; używany w 80% aplikacji enterprise","47.8","Nie dotyczy","78.2","85"
11,"Kubernetes","Orkiestracja kontenerów","Automatyzacja deploymentu, skalowanie i zarządzanie aplikacjami kontenerowymi","Wysoka dostępność, load balancing, self-healing; wzrost użycia o 25% w 2025","58.3","18 mln","71.5 w DevOps","80"
12,"Jenkins","Narzędzie CI/CD","Automatyzacja buildów, testów i deploymentu w pipeline'ach","Open-source, wtyczki dla Git/Docker, wsparcie dla multi-cloud; redukcja czasu release o 40%","42.6","14 tys.","62.8","70"
